x,y,yaw,ref_v
-47.67374084,54.72590578,-1.928469316,5.433753783
-47.71491336,54.61596536,-1.929127191,5.454650072
-47.75677861,54.50441053,-1.929819967,5.47573983
-47.79935112,54.39121323,-1.930523307,5.49702765
-47.85099669,54.25423648,-1.931353378,5.52287001
-47.89489874,54.13805839,-1.932094669,5.544493574
-47.9382449,54.02360731,-1.932833889,5.565634767
-48.01221687,53.82898796,-1.93401792,5.602217955
-48.092605,53.61822,-1.935171213,5.641629551
-48.13478252,53.50791301,-1.936008207,5.661517098
-48.17765806,53.39603936,-1.936779863,5.681548385
-48.22124912,53.28257572,-1.937595468,5.701746087
-48.27365972,53.14653436,-1.938527151,5.726101559
-48.31817751,53.03126624,-1.939359231,5.746404678
-48.36215828,52.91766172,-1.940166938,5.766258929
-48.43630634,52.7268507,-1.941431604,5.800541237
-48.51686044,52.52030168,-1.942652319,5.837590266
-48.59462656,52.32152957,-1.943721817,5.872935386
-48.65739551,52.16151578,-1.944623038,5.900833889
-48.72964034,51.97788231,-1.945616279,5.932876793
-48.77378211,51.86592074,-1.946343123,5.951518263
-48.81690132,51.75676053,-1.946992253,5.969513469
-48.86068695,51.64612165,-1.947635857,5.987682501
-48.90514587,51.53397823,-1.948236019,6.006033978
-48.95920203,51.39788174,-1.948877894,6.028699661
-49.00519703,51.28224156,-1.949354981,6.047481785
-49.05061731,51.16818014,-1.949757725,6.065834543
-49.13555737,50.95528882,-1.950425867,6.102067914
-49.21297806,50.7613876,-1.950680985,6.134428067
-49.29033542,50.56759536,-1.950592862,6.166217543
-49.36755916,50.37388162,-1.950137289,6.197230397
-49.43627933,50.20109024,-1.949323536,6.223584408
-49.48246006,50.08467253,-1.948438488,6.239052707
-49.52907089,49.96684761,-1.947498653,6.253787091
-49.57537614,49.84941152,-1.946380736,6.267212114
-49.64952758,49.66031105,-1.944497444,6.290474465
-49.71463266,49.49307818,-1.942051569,6.308229674
-49.77957904,49.32500118,-1.939531221,6.323935205
-49.84432842,49.15610955,-1.93689207,6.337092219
-49.92555867,48.94226832,-1.933823112,6.352543125
-49.96707553,48.83211775,-1.93124054,6.349969247
-50.00902108,48.72023499,-1.92948485,6.344720954
-50.0743914,48.5446298,-1.927160287,6.334998065
-50.11773492,48.42733443,-1.924757975,6.324177233
-50.16020407,48.31172342,-1.922839122,6.312377756
-50.23045469,48.11894287,-1.920247981,6.290086757
-50.30570842,47.91018918,-1.916786092,6.264264677
-50.37739441,47.7090566,-1.913171596,6.238546868
-50.43458662,47.54691572,-1.909902567,6.217605047
-50.49946598,47.36109796,-1.906718944,6.192952323
-50.53870166,47.2477097,-1.903929549,6.178115633
-50.57684007,47.13673602,-1.901821539,6.163455222
-50.6153842,47.02380003,-1.899692362,6.148366265
-50.65434317,46.90882363,-1.89749748,6.132837788
-50.70105898,46.76982156,-1.895016813,6.11368731
-50.74028234,46.65212121,-1.892469721,6.09744597
-50.77856678,46.53633428,-1.890126029,6.081343814
-50.82885003,46.38284794,-1.887384613,6.059527478
-50.88145326,46.22048442,-1.884109289,6.036158202
-50.91836002,46.105422,-1.881183309,6.019678134
-50.95501783,45.99016352,-1.878728199,6.003046139
-51.00513396,45.83095603,-1.875761564,5.979584217
-51.05426665,45.6729478,-1.87226865,5.956082972
-51.10242144,45.51613651,-1.868742667,5.932550196
-51.17321026,45.28190344,-1.864284299,5.896600245
-51.24730816,45.0316027,-1.85861197,5.857606601
-51.31943322,44.78247774,-1.852605019,5.818276398
-51.38769605,44.54123203,-1.846547517,5.779727004
-51.43659959,44.36484624,-1.841256167,5.75147147
-51.47419284,44.22708963,-1.837205555,5.729410217
-51.52551932,44.03577156,-1.832902736,5.698208942
-51.57581664,43.84438893,-1.827794919,5.666714027
-51.63019017,43.63278072,-1.822308934,5.63146923
-51.68577841,43.41090158,-1.816277376,5.59410525
-51.73992371,43.18883971,-1.809959356,5.556347325
-51.79220974,42.96823786,-1.803517361,5.518496688
-51.84304638,42.74729444,-1.796949156,5.480250624
-51.89239158,42.52603653,-1.790226542,5.441626655
-51.93617854,42.32343092,-1.78364194,5.406101216
-51.97472403,42.13963789,-1.777522534,5.373799646
-52.01214128,41.95581023,-1.771598444,5.341323699
-52.04840247,41.77200035,-1.76557084,5.308698797
-52.07155122,41.65143855,-1.76049498,5.287713912
-52.09418826,41.53089998,-1.756433176,5.266697964
-52.11630059,41.41043189,-1.752329032,5.245664783
-52.13787581,41.29008204,-1.748182949,5.224629048
-52.17447985,41.07888888,-1.742411643,5.186436945
-52.2167716,40.82222222,-1.734101984,5.139439776
-52.25660585,40.56555556,-1.724766369,5.092380893
-52.29393242,40.30888888,-1.715212073,5.045383283
-52.32870047,40.05222222,-1.70543674,4.998607328
-52.3608587,39.79555556,-1.695438652,4.952265581
-52.39089148,39.534,-1.685119333,4.905735704
-52.41396978,39.314,-1.675315459,4.867829217
-52.43502207,39.094,-1.666198037,4.830963924
-52.45401643,38.874,-1.656920753,4.795478748
-52.47405214,38.61,-1.646543954,4.756215954
-52.48841132,38.39,-1.63597288,4.724985
-52.50280064,38.126,-1.625247448,4.693566369
-52.5123911,37.906,-1.614361744,4.667533383
-52.51977474,37.686,-1.604345734,4.643824349
-52.52569102,37.422,-1.593202743,4.622376902
-52.52814398,37.202,-1.581945665,4.602808058
